Playlist Name,Song,Artist,Full Artist,Album
Story,Love Mera Hit Hit,Pritam,"Pritam, Neeraj Shridhar, Tulsi Kumar, Ashish Pandit",Billu
Story,Hungamaa Ho Gaya,Asha Bhosle,"Asha Bhosle, Arijit Singh, Amit Trivedi, Laxmikant–Pyarelal",Queen
Story,Paint The Town Red,Doja Cat,Doja Cat,Scarlet
Story,Popular,The Weeknd,"The Weeknd, Playboi Carti, Madonna",Popular (Music from the HBO Original Series)
Story,Lat Lag Gayee,Benny Dayal,"Benny Dayal, Shalmali Kholgade, Pritam",Race 2 (Original Motion Picture Soundtrack)
Story,O Bekhabar,Pritam,"Pritam, Shreya Ghoshal",Action Replayy
Story,Ek Ladki Ko Dekha Toh Aisa Laga,Darshan Raval,"Darshan Raval, Rochak Kohli, R. D. Burman",Ek Ladki Ko Dekha Toh Aisa Laga
MIX,Lonely,Himesh Reshammiya,"Himesh Reshammiya, Yo Yo Honey Singh, Hamsika Iyer",Khiladi 786
MIX,Dheere Dheere,Shilpa Rao,"Shilpa Rao, Anirudh Ravichander, Kausar Munir","Dheere Dheere (From ""Devara Part 1"")"
MIX,Love Me Love Me,Wajid,"Wajid, Amrita Kak, Sajid-Wajid, Jalees Sherwani",Wanted
MIX,Criminal,Vishal-Shekhar,"Vishal-Shekhar, Akon, Vishal Dadlani, Shruti Pathak, Kumaar",Ra-One
MIX,Dupatta Tera Nau Rang Da,Sonu Nigam,"Sonu Nigam, Kunal Ganjawala, Shreya Ghoshal, Suzi Q, Sajid-Wajid, Shabbir Ahmed",Partner
MIX,Chunari Chunari,Abhijeet,"Abhijeet, Anuradha Sriram",Biwi No. 1 (Original Motion Picture Soundtrack)
MIX,Mere Mehboob Mere Sanam,Udit Narayan,"Udit Narayan, Alka Yagnik, Anu Malik, Javed Akhtar, Lijo George-Dj Chetas","Mere Mehboob Mere Sanam (From ""Bad Newz"")"
MIX,Love Mera Hit Hit,Pritam,"Pritam, Neeraj Shridhar, Tulsi Kumar, Ashish Pandit",Billu
BHAGWAN🙏🏻,Shendur Laal Chadhayo,Ravindra Sathe,Ravindra Sathe,Ganesh Chaturthi Special - Top Ganesh Bhajans Vol-6
BHAGWAN🙏🏻,Ram Siya Ram,Sachet-Parampara,"Sachet-Parampara, Sachet Tandon, Parampara Tandon, Manoj Muntashir","Ram Siya Ram (From ""Adipurush"")"
BHAGWAN🙏🏻,Deva Shree Ganesha,Ajay-Atul,"Ajay-Atul, Ajay Gogavale",Agneepath (Original Motion Picture Soundtrack)
